implementation,run,warmup,compile_microseconds,application_microseconds,profile_file
polyhok,75,0,14709342,717959293,/workspace/reports/performance_20260705_175907/polyhok/profile_75.csv
polyhok,76,0,23360590,722623496,/workspace/reports/performance_20260705_175907/polyhok/profile_76.csv
polyhok,77,0,27196804,708640885,/workspace/reports/performance_20260705_175907/polyhok/profile_77.csv
polyhok,78,0,14357169,724022337,/workspace/reports/performance_20260705_175907/polyhok/profile_78.csv
polyhok,79,0,15722211,723182070,/workspace/reports/performance_20260705_175907/polyhok/profile_79.csv
polyhok,80,0,18722135,709802652,/workspace/reports/performance_20260705_175907/polyhok/profile_80.csv
polyhok,81,0,14010631,711107509,/workspace/reports/performance_20260705_175907/polyhok/profile_81.csv
polyhok,82,0,20768268,720279726,/workspace/reports/performance_20260705_175907/polyhok/profile_82.csv
polyhok,83,0,14213422,718859822,/workspace/reports/performance_20260705_175907/polyhok/profile_83.csv
polyhok,84,0,24091343,721051242,/workspace/reports/performance_20260705_175907/polyhok/profile_84.csv
polyhok,85,0,19410453,707934446,/workspace/reports/performance_20260705_175907/polyhok/profile_85.csv
polyhok,86,0,22779346,723317207,/workspace/reports/performance_20260705_175907/polyhok/profile_86.csv
polyhok,87,0,24212177,717697760,/workspace/reports/performance_20260705_175907/polyhok/profile_87.csv
polyhok,88,0,14384253,720174132,/workspace/reports/performance_20260705_175907/polyhok/profile_88.csv
polyhok,89,0,18992669,717121022,/workspace/reports/performance_20260705_175907/polyhok/profile_89.csv
polyhok,90,0,27188298,726583314,/workspace/reports/performance_20260705_175907/polyhok/profile_90.csv
polyhok,91,0,25842345,725210621,/workspace/reports/performance_20260705_175907/polyhok/profile_91.csv
polyhok,92,0,19218570,721039362,/workspace/reports/performance_20260705_175907/polyhok/profile_92.csv
polyhok,93,0,14909096,709034105,/workspace/reports/performance_20260705_175907/polyhok/profile_93.csv
polyhok,94,0,13935422,722696099,/workspace/reports/performance_20260705_175907/polyhok/profile_94.csv
polyhok,95,0,13738932,711450196,/workspace/reports/performance_20260705_175907/polyhok/profile_95.csv
polyhok,96,0,14096066,719149154,/workspace/reports/performance_20260705_175907/polyhok/profile_96.csv
polyhok,97,0,13912799,709829950,/workspace/reports/performance_20260705_175907/polyhok/profile_97.csv
polyhok,98,0,24091908,707880986,/workspace/reports/performance_20260705_175907/polyhok/profile_98.csv
polyhok,99,0,14302677,724665717,/workspace/reports/performance_20260705_175907/polyhok/profile_99.csv
polyhok,100,0,14259621,718626498,/workspace/reports/performance_20260705_175907/polyhok/profile_100.csv
polyhok,101,0,15346117,708857455,/workspace/reports/performance_20260705_175907/polyhok/profile_101.csv
