implementation,run,warmup,metric,milliseconds
cuda,38,0,epoch_average,6574.202900000
cuda,38,0,batch_average,24.375311747
cuda,38,0,prediction_total,2095.807000000
cuda,38,0,cpu_gpu_transfer,26476.394000000
cuda,38,0,gpu_cpu_transfer,71.460000000
cuda,38,0,gpu_compute,628467.669000000
cuda,38,0,application_total,667565.559000000
cuda,39,0,compilation,8450.574000000
cuda,39,0,model_setup,349.049000000
cuda,39,0,batch_loading,42261.661000000
cuda,39,0,training_total,652814.625000000
cuda,39,0,epoch_average,6528.146250000
cuda,39,0,batch_average,24.214253829
cuda,39,0,prediction_total,2120.182000000
cuda,39,0,cpu_gpu_transfer,20340.386000000
cuda,39,0,gpu_cpu_transfer,75.577000000
cuda,39,0,gpu_compute,630243.405000000
cuda,39,0,application_total,663162.017000000
cuda,40,0,compilation,8300.419000000
cuda,40,0,model_setup,328.522000000
cuda,40,0,batch_loading,55349.824000000
cuda,40,0,training_total,656368.259000000
cuda,40,0,epoch_average,6563.682590000
cuda,40,0,batch_average,24.334090335
cuda,40,0,prediction_total,2195.482000000
cuda,40,0,cpu_gpu_transfer,25029.779000000
cuda,40,0,gpu_cpu_transfer,73.685000000
cuda,40,0,gpu_compute,628710.668000000
cuda,40,0,application_total,666995.814000000
cuda,41,0,compilation,8446.915000000
cuda,41,0,model_setup,327.098000000
cuda,41,0,batch_loading,48556.951000000
cuda,41,0,training_total,654658.841000000
cuda,41,0,epoch_average,6546.588410000
cuda,41,0,batch_average,24.271580855
cuda,41,0,prediction_total,2181.341000000
cuda,41,0,cpu_gpu_transfer,22491.128000000
cuda,41,0,gpu_cpu_transfer,103.113000000
cuda,41,0,gpu_compute,629676.140000000
cuda,41,0,application_total,665136.363000000
cuda,42,0,compilation,8355.512000000
cuda,42,0,model_setup,325.376000000
cuda,42,0,batch_loading,55167.099000000
cuda,42,0,training_total,656562.146000000
cuda,42,0,epoch_average,6565.621460000
cuda,42,0,batch_average,24.343977100
cuda,42,0,prediction_total,2061.729000000
cuda,42,0,cpu_gpu_transfer,25475.671000000
cuda,42,0,gpu_cpu_transfer,74.398000000
cuda,42,0,gpu_compute,628698.909000000
cuda,42,0,application_total,666519.304000000
cuda,43,0,compilation,8422.155000000
cuda,43,0,model_setup,328.878000000
cuda,43,0,batch_loading,45135.849000000
cuda,43,0,training_total,659220.910000000
cuda,43,0,epoch_average,6592.209100000
cuda,43,0,batch_average,24.454617770
cuda,43,0,prediction_total,2514.228000000
cuda,43,0,cpu_gpu_transfer,29680.840000000
cuda,43,0,gpu_cpu_transfer,96.397000000
cuda,43,0,gpu_compute,628269.375000000
cuda,43,0,application_total,670359.044000000
cuda,44,0,compilation,8355.939000000
cuda,44,0,model_setup,328.263000000
cuda,44,0,batch_loading,49254.674000000
cuda,44,0,training_total,655884.837000000
cuda,44,0,epoch_average,6558.848370000
cuda,44,0,batch_average,24.318296506
cuda,44,0,prediction_total,2214.306000000
cuda,44,0,cpu_gpu_transfer,23680.847000000
cuda,44,0,gpu_cpu_transfer,102.787000000
cuda,44,0,gpu_compute,629733.005000000
cuda,44,0,application_total,666519.554000000
cuda,45,0,compilation,8305.631000000
cuda,45,0,model_setup,329.514000000
cuda,45,0,batch_loading,48695.012000000
cuda,45,0,training_total,655844.461000000
cuda,45,0,epoch_average,6558.444610000
cuda,45,0,batch_average,24.312969331
cuda,45,0,prediction_total,2251.186000000
cuda,45,0,cpu_gpu_transfer,23551.486000000
cuda,45,0,gpu_cpu_transfer,104.880000000
cuda,45,0,gpu_compute,629642.115000000
cuda,45,0,application_total,666289.181000000
cuda,46,0,compilation,8276.508000000
cuda,46,0,model_setup,331.696000000
cuda,46,0,batch_loading,48052.224000000
cuda,46,0,training_total,654474.347000000
cuda,46,0,epoch_average,6544.743470000
